excel_id,row,title,original_title,release_year,runtime_minutes,genres,countries,director,cast,imdb,tomatometer,popcornmeter,justwatch_url,poster_url
1,2,Die Verurteilten,The Shawshank Redemption,1994,142,Drama | Krimi,USA,Frank Darabont,Tim Robbins | Morgan Freeman | Bob Gunton,9.3,89.000,98.000,https://www.justwatch.com/de/Film/Die-Verurteilten,
2,3,Der Pate,The Godfather,1972,175,Drama | Krimi,USA,Francis Ford Coppola,Marlon Brando | Al Pacino | James Caan,9.2,97.000,98.000,https://www.justwatch.com/de/Film/Der-Pate,
3,4,Die zwölf Geschworenen,12 Angry Men,1957,96,Drama | Thriller,USA,Sidney Lumet,Henry Fonda | Lee J. Cobb | Martin Balsam,9,100.000,97.000,https://www.justwatch.com/de/Film/Die-zwoelf-Geschworenen-1957,
4,5,Schindlers Liste,Schindler’s List,1993,187,Drama | Krieg,USA,Steven Spielberg,Liam Neeson | Ben Kingsley | Ralph Fiennes,9,98.000,97.000,https://www.justwatch.com/de/Film/Schindlers-Liste,
5,6,Der Pate II,The Godfather Part II,1974,202,Drama | Krimi,USA,Francis Ford Coppola,Al Pacino | Robert de Niro | Robert Duvall,9,96.000,97.000,https://www.justwatch.com/de/Film/Der-Pate-2,
6,7,Batman: The Dark Knight,,2008,152,Action | Krimi,UK | USA,Christopher Nolan,Christian Bale | Heath Ledger | Aaron Eckhart,9,94.000,94.000,https://www.justwatch.com/de/Film/The-Dark-Knight,
7,8,Herr der Ringe: Die Rückkehr des Königs,The Lord of the Rings: The Return of the King,2003,201,Abenteuer | Fantasy,NZL | USA,Peter Jackson,Elijah Wood | Viggo Mortensen | Ian McKellen,9,94.000,86.000,https://www.justwatch.com/de/Film/Der-Herr-der-Ringe-Die-Rueckkehr-des-Koenigs,
8,9,Pulp Fiction,,1994,154,Krimi | Thriller,USA,Quentin Tarantino,John Travolta | Samuel L. Jackson | Bruce Willis,8.9,92.000,96.000,https://www.justwatch.com/de/Film/Pulp-Fiction,
9,10,Herr der Ringe: Die Gefährten,The Lord of the Rings: The Fellowship of the Ring,2001,178,Abenteuer | Fantasy,NZL | USA,Peter Jackson,Elijah Wood | Ian McKellen | Viggo Mortensen,8.9,92.000,95.000,https://www.justwatch.com/de/Film/Der-Herr-der-Ringe-Die-Gefaehrten,
1297,11,Kill Bill: The Whole Bloody Affair,,2006,275,Action | Thriller,USA,Quentin Tarantino,Uma Thurman | David Carradine | Lucy Liu,8.8,100.000,98.000,https://www.justwatch.com/de/Film/kill-bill-the-whole-bloody-affair,
